study_hours,sleep_hours,break_frequency,concentration_level,burnout_risk
7.6,12.1,47,4,3.56
12.8,4.8,41,4,67.3
6.9,6.4,7,4,36.75
6.2,6.3,44,1,44.11
6.6,7.1,55,1,37.44
3.0,11.7,16,1,3.36
10.6,14.5,20,3,16.02
6.7,6.8,9,4,33.22
9.0,7.0,51,5,28.32
8.5,6.7,9,1,57.9
8.3,8.0,48,1,36.02
8.8,8.0,29,4,35.99
8.0,8.6,60,3,23.32
3.7,6.2,60,5,0.0
6.1,10.6,56,1,18.98
12.3,7.2,15,2,72.15
6.2,6.6,44,5,14.47
5.5,5.0,14,5,16.49
9.4,7.3,41,5,12.89
8.1,7.9,12,5,24.01
8.5,6.9,24,5,27.19
9.0,7.6,41,4,31.86
8.6,8.0,39,5,19.69
6.8,6.7,33,5,1.39
12.0,7.3,37,2,66.36
7.8,3.4,31,3,44.09
2.0,8.0,50,3,0.0
8.9,9.1,11,1,46.49
6.4,6.6,27,1,37.9
7.5,7.6,54,4,2.57
6.3,6.5,60,5,5.13
9.3,2.9,31,3,64.95
9.6,7.5,9,1,63.57
8.9,7.8,46,3,28.65
16.4,2.6,15,3,97.27
7.2,6.4,57,3,29.05
8.0,6.0,13,1,51.51
8.7,6.0,49,5,12.15
9.5,5.1,5,1,84.12
7.1,10.2,48,3,11.44
6.0,12.4,33,5,0.0
8.8,7.8,9,3,36.59
17.4,6.3,20,3,89.39
18.0,7.1,18,2,100.0
15.4,12.2,44,1,60.65
8.7,3.3,21,5,61.34
7.0,12.1,13,4,5.76
7.0,14.0,55,3,0.0
8.3,9.9,36,5,9.29
8.7,6.9,37,3,33.1
13.1,7.2,46,2,59.82
6.7,7.2,11,2,33.57
17.7,7.7,43,5,62.5
4.2,2.1,25,4,30.17
11.5,6.9,19,1,80.18
7.2,14.0,38,1,1.94
4.1,14.6,8,1,4.61
9.0,6.5,60,2,38.26
8.0,13.5,16,4,12.34
9.9,6.3,38,4,41.89
8.2,10.3,58,2,9.85
8.5,7.3,28,1,55.32
8.5,13.6,59,4,0.0
8.5,3.6,57,4,37.65
7.3,7.7,25,2,47.89
9.5,10.1,42,1,39.71
15.5,7.7,47,1,72.15
8.3,7.7,53,2,37.9
9.7,9.1,45,4,20.89
18.7,7.9,32,4,83.49
9.0,6.1,7,5,36.8
9.0,13.6,5,4,15.86
2.2,7.2,44,2,0.0
6.4,7.1,15,4,23.44
7.3,3.2,56,1,59.71
1.2,7.2,24,1,15.41
8.9,7.2,10,1,66.54
7.1,13.9,58,3,0.0
3.6,9.2,47,3,0.08
3.8,7.7,43,2,16.83
7.1,6.3,45,4,26.29
8.5,7.6,40,1,51.7
6.1,6.2,28,1,47.56
8.7,6.8,59,3,32.21
8.9,15.0,59,5,0.0
8.8,7.6,50,3,34.01
7.0,6.9,34,2,29.66
1.4,7.0,47,3,0.0
8.1,6.2,46,2,51.01
8.3,13.8,5,1,22.91
9.8,6.8,30,5,26.43
4.1,6.0,14,2,33.44
10.5,10.0,24,3,34.85
15.3,7.6,21,1,85.3
9.3,4.5,20,4,53.38
7.2,11.2,36,4,0.0
10.8,4.5,13,4,70.33
14.5,7.2,35,2,73.64
5.5,6.6,31,1,34.15
7.3,6.9,26,5,17.03
8.1,13.9,53,5,0.0
7.1,4.8,51,1,51.56
5.2,10.6,25,4,0.0
8.1,7.1,41,4,23.45
8.1,9.8,46,4,2.26
15.7,6.6,46,1,87.75
11.3,6.3,29,5,47.86
6.3,7.9,7,2,30.19
7.4,2.7,7,4,54.21
7.4,7.3,8,3,34.15
6.5,13.0,58,4,0.0
8.6,7.4,49,4,29.72
6.8,10.0,46,5,0.0
9.1,10.4,41,4,10.73
12.1,3.7,38,1,85.55
8.5,11.9,14,3,28.79
9.4,4.0,51,5,30.95
7.6,10.1,35,4,12.1
7.8,6.6,29,1,58.92
17.4,6.3,6,2,99.55
9.7,6.6,13,4,51.89
15.5,14.8,34,4,37.68
8.6,3.6,29,1,66.41
7.0,9.5,35,5,0.0
10.0,3.3,33,1,75.92
17.7,11.0,18,2,86.05
8.9,4.5,32,3,55.56
8.1,7.4,12,4,33.5
8.5,2.5,43,2,65.96
7.8,15.0,47,4,0.0
7.3,5.9,41,1,40.48
7.7,3.6,31,1,52.58
5.3,8.5,57,1,12.08
11.4,14.8,13,3,19.78
17.0,4.0,17,3,88.53
8.8,8.9,45,2,38.39
7.4,6.6,24,5,25.18
5.4,7.6,60,2,22.94
9.6,6.4,20,4,38.87
3.4,8.7,14,2,23.64
7.3,7.0,29,3,24.1
11.2,11.4,7,2,47.58
9.4,6.7,19,1,64.3
17.0,7.5,5,5,67.7
2.8,7.7,53,1,23.45
6.1,7.7,60,4,2.4
7.8,6.7,19,1,55.0
7.7,7.7,60,3,24.77
8.0,14.2,20,4,1.95
12.9,7.2,15,1,80.72
7.8,8.0,5,1,52.57
7.0,6.5,23,2,49.31
8.9,6.5,14,5,34.84
6.9,5.8,12,1,51.64
6.9,6.5,24,5,13.14
7.1,6.5,13,4,38.31
8.5,6.4,11,5,40.56
9.7,7.1,54,1,45.26
8.1,5.9,16,1,63.54
9.7,13.6,60,3,14.97
9.7,8.6,27,2,49.24
1.3,7.7,43,5,0.0
19.8,6.3,45,5,84.57
7.6,8.0,40,2,34.02
9.7,7.6,30,5,27.14
7.3,6.9,44,2,37.03
4.2,13.9,14,4,0.0
14.0,13.4,29,4,25.42
6.7,6.8,34,5,20.63
7.5,6.5,47,3,28.69
6.3,6.4,41,1,36.42
3.7,8.0,46,5,0.0
8.1,7.4,37,4,23.71
8.0,7.4,55,5,11.74
7.3,14.2,48,2,2.17
7.1,3.1,40,2,48.66
9.5,7.9,56,4,26.12
9.5,6.7,47,1,45.6
7.8,9.4,57,2,17.97
9.9,7.6,7,4,41.82
12.9,8.9,36,3,50.69
6.8,14.0,39,4,0.0
7.1,14.5,22,4,0.0
6.9,10.1,34,1,32.96
10.5,2.8,23,1,84.74
8.1,14.2,16,1,26.25
8.3,7.1,38,3,19.73
7.6,10.6,8,2,32.95
6.5,8.0,28,4,18.5
8.3,9.3,11,1,52.31
7.3,9.7,52,2,30.25
6.5,6.9,21,2,34.03
9.7,7.9,51,3,46.74
8.6,7.3,43,5,13.07
17.2,5.7,54,3,85.1
9.0,8.5,28,2,45.84
9.6,5.4,20,3,54.93
9.6,8.3,29,1,52.04
2.1,7.4,23,1,25.16
8.4,2.7,30,3,50.23
9.2,8.4,37,2,42.03
5.4,6.1,18,1,35.88
8.2,8.6,48,4,8.98
7.4,12.8,27,4,0.0
11.9,7.0,35,3,62.61
7.1,6.7,23,1,43.45
7.5,2.7,34,2,52.83
6.2,11.9,59,2,8.65
9.3,7.6,51,2,37.93
7.5,7.2,30,1,43.19
8.3,6.7,12,4,50.38
7.9,7.0,26,5,18.0
9.2,13.0,31,2,19.01
8.5,13.6,34,4,0.0
8.6,7.7,38,2,52.49
13.0,8.5,6,5,46.31
9.5,7.5,17,3,34.8
15.2,6.4,14,3,86.88
17.8,7.6,29,3,80.51
7.8,6.2,37,1,50.01
8.6,7.0,45,3,27.14
16.9,4.1,31,2,100.0
14.0,12.8,33,5,25.32
7.3,6.5,56,5,18.97
12.6,7.1,31,1,64.34
7.4,7.6,43,5,10.79
9.9,6.4,20,3,57.5
7.4,7.6,57,1,42.8
8.9,7.4,47,3,33.17
7.1,2.5,33,1,57.61
2.3,7.9,39,3,9.5
7.7,6.9,50,2,33.21
6.9,12.5,20,3,9.34
9.9,9.7,19,5,22.88
9.1,8.9,31,4,27.72
13.5,7.3,37,1,75.81
16.4,12.5,29,1,68.7
7.0,11.9,37,1,27.47
6.8,11.1,16,4,9.75
9.1,7.3,18,3,50.45
7.9,2.8,14,1,67.33
18.1,6.8,46,1,100.0
7.6,7.1,41,3,26.18
7.3,7.1,16,4,34.82
9.3,8.4,51,5,19.09
9.6,6.2,25,5,32.45
8.1,6.2,40,2,43.9
14.9,13.2,11,1,65.55
9.9,7.8,16,1,64.57
8.6,12.7,24,4,0.0
8.4,7.9,38,2,25.94
8.8,12.9,35,1,17.22
9.2,12.1,10,4,25.98
9.4,13.9,49,4,4.03
8.5,4.1,46,3,39.66
7.0,7.5,8,5,28.92
9.7,7.9,20,2,50.35
8.8,7.2,44,5,21.53
8.2,3.3,34,1,70.72
8.2,2.7,36,1,59.69
7.4,4.0,32,5,32.82
8.5,7.7,7,2,49.94
8.3,6.5,52,5,12.52
7.0,6.7,54,1,41.02
1.1,6.8,7,5,0.0
7.8,7.4,31,4,24.68
15.6,13.1,60,3,36.39
9.2,6.8,55,4,24.25
8.9,7.9,45,2,42.17
3.2,3.4,33,3,22.52
6.9,9.5,49,1,36.47
6.8,6.0,17,5,28.08
6.9,6.0,49,5,11.2
7.9,8.1,51,5,10.65
9.6,7.5,56,5,33.47
9.7,6.3,15,1,68.04
3.2,13.0,12,5,0.0
12.8,8.2,48,2,54.74
6.5,7.9,41,4,0.0
8.6,7.6,33,5,16.62
7.2,5.5,14,2,45.59
11.6,4.8,59,3,64.31
9.6,4.9,59,2,52.26
17.8,6.1,51,3,87.86
8.9,7.3,43,3,31.69
5.9,10.0,11,5,0.0
17.6,10.9,12,4,75.63
8.4,7.1,42,4,36.23
9.5,7.5,30,4,31.32
9.2,6.3,6,1,76.06
7.0,6.5,40,3,26.11
9.0,14.5,39,2,20.4
13.5,9.5,15,5,46.02
16.0,6.2,54,3,76.29
7.9,7.0,28,4,38.4
3.5,7.0,33,1,20.56
6.2,2.4,57,3,42.66
10.6,11.1,27,4,24.91
3.8,6.5,9,1,28.01
15.6,4.8,28,1,100.0
8.2,6.7,18,2,52.46
18.7,5.5,21,5,88.48
7.6,5.1,43,1,42.47
3.1,6.5,48,2,16.13
14.7,7.2,5,5,78.99
16.6,6.5,60,4,59.48
9.0,6.0,16,3,46.08
9.0,7.0,42,4,30.79
6.5,4.6,57,3,19.83
7.7,7.2,48,4,25.46
6.7,6.1,20,1,48.48
2.8,8.7,40,1,14.56
9.8,8.2,7,5,37.55
17.4,6.9,56,4,71.4
14.9,12.6,44,2,60.3
19.2,7.3,9,4,93.96
7.4,7.2,36,4,34.16
13.3,2.7,21,3,96.27
7.4,6.0,12,1,46.06
6.2,10.7,7,2,20.88
9.2,3.5,37,5,46.79
9.3,3.6,23,1,74.24
6.7,9.8,59,1,22.61
6.7,2.7,46,3,43.52
7.9,14.5,60,2,0.0
12.4,13.0,52,3,39.74
13.7,7.8,45,4,53.84
17.5,2.3,20,2,100.0
17.0,6.5,7,1,100.0
9.5,12.1,28,1,41.72
11.9,6.3,47,2,61.68
6.9,7.7,30,2,32.28
17.9,6.2,15,5,76.49
7.6,11.1,31,3,10.76
14.3,3.3,41,2,91.59
18.6,7.8,15,4,88.28
8.9,12.4,38,4,10.75
8.0,13.6,57,1,11.78
6.5,11.8,10,3,27.61
14.5,6.1,43,3,78.85
9.0,6.8,53,3,34.97
6.4,13.7,7,1,10.87
9.5,11.1,40,5,9.99
7.3,6.8,38,4,28.38
10.0,3.0,60,3,47.89
7.5,7.0,40,2,41.46
8.1,12.1,60,3,0.69
7.7,6.4,19,1,52.34
6.7,4.2,54,3,33.85
8.2,3.5,37,4,43.6
6.2,12.2,37,4,0.0
7.1,6.8,9,5,30.07
7.4,14.5,9,1,19.23
9.6,7.7,55,1,40.33
9.5,6.3,7,4,50.44
7.2,11.9,47,5,0.0
6.5,9.9,35,3,22.02
6.0,6.5,51,3,18.01
8.7,12.5,32,4,5.93
6.0,3.3,9,1,61.34
7.7,6.2,34,5,21.81
8.5,13.6,21,5,0.5
6.8,5.2,57,5,21.15
5.6,7.2,59,3,0.0
15.3,8.5,20,5,54.29
1.3,8.0,12,2,12.94
8.7,13.2,36,1,26.6
7.1,6.6,59,3,20.23
9.8,7.3,19,4,46.56
7.6,6.9,19,4,33.59
1.6,7.6,34,5,0.0
6.1,6.4,44,5,1.7
6.0,10.5,41,1,25.73
9.9,10.1,44,2,27.13
18.6,2.7,37,4,100.0
7.0,11.1,29,3,8.6
9.7,5.3,21,3,69.83
4.4,9.5,55,3,0.0
10.0,6.5,7,1,61.69
7.6,14.5,22,5,0.0
6.1,8.8,47,2,26.55
9.3,10.8,58,4,18.36
7.1,7.3,11,4,25.61
8.3,6.1,29,5,33.28
8.4,7.0,50,2,42.01
8.9,7.3,19,2,38.54
8.2,6.2,14,1,54.26
2.5,7.5,20,4,0.0
6.9,7.4,30,3,31.41
3.2,13.8,25,5,0.0
14.4,4.1,14,5,75.86
13.4,7.1,15,5,62.67
16.0,3.7,51,1,100.0
1.2,7.8,24,2,8.38
7.5,2.0,38,3,56.19
9.3,3.8,43,1,73.03
15.2,6.8,24,5,60.33
7.4,2.4,54,1,70.59
8.5,2.9,17,3,66.74
8.7,9.1,27,4,29.67
8.6,5.0,18,5,41.68
8.7,6.0,32,2,48.9
7.2,11.6,46,4,2.46
8.4,10.2,27,2,27.61
8.7,8.6,44,2,29.08
9.3,6.1,8,4,49.88
9.1,3.8,38,5,32.48
4.0,12.0,52,3,0.0
16.2,7.8,38,1,86.66
14.4,2.6,23,2,100.0
18.2,6.5,30,2,91.98
6.6,7.9,15,3,30.66
14.9,7.2,34,3,81.0
7.3,5.7,22,2,63.08
7.3,9.8,34,1,25.73
16.2,6.6,22,3,82.12
9.4,12.4,15,5,18.46
6.2,3.2,6,5,38.12
14.8,4.9,23,1,100.0
8.5,12.0,25,1,28.4
8.2,9.7,21,2,41.35
7.3,8.0,38,2,25.54
7.6,11.7,48,3,12.23
7.8,13.2,52,2,21.15
1.9,6.9,19,2,23.61
9.2,6.4,43,3,55.92
7.3,6.4,41,2,24.6
1.7,11.0,24,5,0.0
9.9,2.5,8,1,79.62
9.3,4.4,21,5,43.96
9.1,14.2,29,4,0.0
4.0,2.4,12,5,26.29
7.2,7.0,58,4,11.17
8.5,7.8,45,5,11.2
17.2,12.4,31,2,71.36
7.7,10.5,60,4,1.31
13.0,6.2,35,3,68.69
15.9,12.9,12,3,56.1
7.8,6.2,29,5,24.66
7.4,6.7,13,5,31.19
3.8,7.0,46,5,0.0
1.9,12.6,48,1,0.0
7.9,12.0,47,1,33.67
6.8,7.7,5,2,38.77
8.5,2.9,40,5,32.29
14.4,12.6,34,1,57.74
7.9,7.9,52,2,24.39
9.1,6.5,53,3,30.99
7.4,7.0,58,4,19.38
7.3,3.2,54,2,57.77
7.9,12.0,52,4,0.0
7.8,13.4,50,4,0.0
8.0,6.6,59,4,28.68
9.0,4.9,18,1,60.21
8.1,6.2,46,2,43.76
10.0,9.6,52,2,33.97
7.3,7.8,50,3,20.52
6.3,6.8,8,2,41.33
8.7,6.7,30,5,34.52
6.6,3.4,18,3,33.62
8.1,6.4,44,3,24.05
1.3,12.0,49,3,0.0
7.4,10.1,40,3,16.16
9.4,6.7,51,3,35.49
15.1,7.7,7,2,96.06
6.3,13.9,24,2,0.0
3.9,6.6,10,1,39.66
6.7,6.1,25,2,35.7
8.2,7.1,15,1,57.97
3.0,6.9,31,1,28.05
6.2,10.7,34,5,0.0
8.7,7.4,59,3,25.32
7.0,3.2,18,5,36.61
7.6,13.3,51,3,8.67
9.6,11.7,22,1,45.77
16.2,8.8,10,1,92.07
9.9,12.0,48,2,21.84
6.4,7.0,45,4,17.48
9.5,6.2,36,3,41.26
9.3,9.1,37,4,23.88
8.7,13.8,56,1,14.96
15.8,7.5,59,3,74.27
1.2,6.3,16,1,21.55
4.9,7.1,8,2,27.17
7.9,7.0,54,1,31.12
8.8,6.5,58,4,19.11
3.9,9.2,40,4,0.0
7.6,7.5,53,2,36.08
7.7,6.9,47,2,38.95
2.0,14.1,15,1,0.0
9.5,10.2,40,1,37.59
7.6,3.7,19,4,41.74
19.6,5.0,28,2,100.0
6.7,6.6,59,4,12.82
7.6,12.7,37,2,12.64
9.7,6.1,32,5,36.36
7.9,6.2,44,5,18.69
6.3,2.0,8,5,43.82
8.2,10.9,16,2,33.31
8.2,7.7,20,3,38.98
5.5,7.4,16,5,7.33
15.6,7.2,50,4,59.11
8.9,7.7,25,5,27.22
7.7,2.4,30,4,45.39
15.7,6.1,13,1,99.76
14.3,3.6,24,2,100.0
9.7,2.8,54,1,66.87
9.4,7.4,58,1,49.47
9.6,14.1,25,5,0.0
2.3,7.1,46,4,0.0
6.4,10.1,9,5,4.55
7.7,11.8,56,2,5.88
6.7,6.8,15,4,28.06
6.4,4.6,9,3,44.6
7.8,5.0,20,4,43.2
11.4,3.8,16,5,67.71
10.3,6.8,41,1,65.12
6.3,14.1,38,1,0.43
9.2,7.2,26,3,44.13
8.4,14.4,19,3,1.21
8.4,7.0,36,2,29.87
8.6,3.8,37,3,54.2
9.8,6.1,39,2,56.34
17.4,2.3,8,2,100.0
6.8,9.0,20,2,29.18
6.8,4.6,60,4,20.33
10.3,6.7,14,4,50.34
6.1,7.5,49,1,18.77
3.2,7.4,47,5,0.0
6.2,8.8,37,4,7.56
6.6,8.8,16,4,17.92
6.2,11.5,19,5,0.0
1.2,7.5,35,1,0.0
7.8,7.3,39,2,42.44
7.8,6.2,52,5,29.73
9.6,5.0,27,1,65.75
6.2,12.2,36,4,0.0
12.6,6.8,52,2,68.81
8.2,14.9,29,2,12.15
8.4,14.3,9,1,23.78
7.2,6.7,57,4,21.5
6.7,7.0,57,5,0.0
14.7,6.4,45,2,78.81
11.4,7.3,18,3,59.97
7.2,6.2,35,2,33.85
8.4,7.0,52,3,24.89
7.5,13.8,18,2,4.73
8.5,7.1,46,1,53.55
15.6,7.0,18,4,78.23
6.3,7.3,10,5,21.35
7.0,10.5,29,5,5.96
9.1,4.7,48,1,54.28
8.9,6.2,32,4,40.35
16.6,6.4,53,5,67.35
8.7,7.9,21,1,48.54
7.0,10.3,8,2,36.52
17.2,14.7,32,1,69.07
4.6,10.9,11,3,4.26
14.8,6.8,46,2,69.74
7.1,6.0,10,4,21.28
7.6,9.5,46,4,5.11
11.1,6.8,60,2,49.19
9.5,2.4,41,1,74.85
7.9,12.0,47,3,11.88
9.1,7.3,53,4,21.05
12.8,5.3,33,5,48.5
3.7,9.2,32,1,16.03
11.2,6.1,23,5,50.27
12.1,12.5,18,4,24.56
6.5,5.5,50,4,21.78
8.4,4.8,17,4,49.8
18.1,7.9,33,1,90.52
7.3,7.7,39,3,27.31
8.3,6.5,45,2,35.45
18.5,14.2,6,1,82.09
2.1,5.1,6,3,11.5
8.4,6.4,30,5,16.71
7.6,7.0,5,1,52.25
1.8,6.6,32,3,11.77
7.2,14.9,41,4,0.0
8.1,6.6,38,3,30.3
8.1,12.7,50,3,0.0
16.8,7.7,28,4,81.6
9.5,7.4,53,2,44.66
6.7,6.1,52,2,26.76
9.9,9.1,33,3,32.26
6.6,11.9,32,5,0.0
8.1,11.7,38,3,21.74
8.5,5.4,58,5,22.97
8.3,9.0,37,4,17.81
11.8,7.5,42,2,64.76
9.2,6.8,38,4,36.26
9.1,13.9,9,2,27.48
12.4,6.6,34,2,65.84
6.0,3.6,26,1,55.23
6.6,6.7,7,1,51.1
6.4,2.6,33,1,58.54
6.4,9.6,35,4,16.6
8.6,7.9,34,3,36.45
8.5,4.1,33,1,76.42
3.1,11.0,35,5,0.0
15.1,9.8,28,4,44.93
8.3,6.5,57,4,16.72
10.0,14.9,45,1,17.76
9.1,4.4,27,2,60.08
7.7,4.1,52,1,59.0
8.4,5.7,42,1,51.28
17.4,7.8,57,3,71.08
1.2,6.0,53,3,0.47
14.5,6.8,53,2,76.31
8.7,7.3,38,3,46.04
11.5,6.1,28,3,61.23
9.1,8.0,29,4,33.12
7.9,7.0,6,3,47.78
9.2,6.7,10,1,68.48
7.2,6.2,45,5,28.93
7.8,6.2,36,1,42.5
9.0,11.4,48,3,29.06
7.9,9.1,17,1,34.54
6.4,6.2,20,1,53.07
8.1,2.5,30,1,67.17
3.0,6.2,14,3,11.59
9.1,10.3,8,4,19.45
2.9,7.3,18,4,8.46
8.3,7.7,28,5,19.66
5.0,4.9,42,5,6.3
9.8,7.2,41,3,43.77
6.5,6.6,43,4,26.06
9.6,9.8,27,2,34.13
9.8,6.7,15,5,35.39
9.6,9.6,12,4,32.09
13.7,7.2,10,4,58.92
9.8,7.3,38,4,33.25
7.6,10.6,41,1,29.81
6.9,13.2,37,5,0.0
8.7,7.4,49,3,37.01
9.5,8.4,59,3,40.41
7.7,12.5,14,3,7.4
8.4,6.1,40,1,52.43
7.0,4.6,11,4,44.05
17.1,8.9,55,4,65.54
4.7,10.4,21,2,12.48
6.3,8.0,24,1,33.73
11.1,12.1,51,5,13.91
4.7,6.3,32,5,1.24
9.4,3.6,28,5,44.38
16.1,11.2,42,4,50.65
8.9,7.8,13,1,56.26
6.8,7.4,58,5,1.45
8.6,7.3,34,4,29.08
13.7,8.1,43,3,52.24
6.9,7.9,57,4,13.04
7.3,10.9,40,3,12.4
6.4,7.1,21,1,46.02
9.4,6.3,56,2,42.88
7.0,2.6,20,2,58.66
10.9,7.6,38,5,35.13
6.7,7.5,47,3,25.43
8.2,10.0,11,3,36.8
7.1,3.4,31,5,36.65
8.3,3.0,55,1,58.81
8.4,7.3,11,2,48.25
7.0,2.2,53,2,46.49
11.5,7.7,36,5,29.91
10.7,6.4,20,1,72.07
7.4,9.3,23,2,37.39
7.3,6.5,53,3,26.13
5.5,12.6,30,2,0.0
15.7,7.4,5,5,58.7
8.6,7.0,47,2,39.59
7.1,6.7,34,5,17.56
8.9,6.1,47,4,36.59
3.7,3.8,19,1,46.87
9.3,7.6,58,2,40.62
9.3,6.4,7,4,43.0
13.3,7.0,24,5,61.11
5.3,7.4,23,2,28.26
19.4,12.6,31,2,74.59
10.7,12.5,5,4,24.78
9.2,3.3,49,2,59.52
11.8,7.4,56,4,42.45
7.3,10.8,17,4,10.23
8.5,7.2,37,1,49.56
4.2,13.6,47,1,0.0
6.6,7.4,28,5,11.21
9.5,6.6,15,3,48.42
9.0,6.5,9,1,72.23
2.5,11.8,47,1,0.0
9.4,6.9,52,4,29.71
3.0,5.7,36,4,0.0
2.5,6.8,39,4,3.27
11.8,7.3,56,3,36.32
9.9,7.7,55,1,39.81
6.5,7.6,23,2,39.66
5.2,2.9,5,1,58.27
11.7,6.3,19,5,52.18
7.9,7.7,23,3,32.04
9.6,3.3,8,5,49.44
6.7,6.0,29,4,24.34
5.4,14.3,50,2,0.0
6.4,7.7,40,3,19.9
8.2,7.6,12,3,41.93
19.0,6.3,49,2,98.15
9.6,6.9,53,5,21.88
9.3,13.3,30,1,17.62
6.6,7.2,40,5,13.38
7.1,10.5,22,2,30.02
9.7,9.6,32,1,38.08
9.1,4.0,37,3,55.57
9.1,6.7,40,2,47.71
8.5,6.3,9,5,32.04
9.1,7.1,58,2,33.65
8.7,5.2,40,3,52.41
8.2,3.1,55,4,44.4
8.8,7.5,32,3,33.26
12.9,6.7,21,3,68.26
5.6,10.8,18,4,2.36
6.3,7.3,33,2,30.44
8.9,7.3,57,4,22.61
8.3,11.6,19,3,10.82
6.0,14.7,7,1,5.57
7.1,9.4,7,1,50.16
8.0,7.3,23,5,19.77
6.8,14.7,59,5,0.0
2.4,7.8,37,3,0.0
